Brand,Fuel_Type,Transmission,Seller_Type,Year,Km_Driven,Mileage_kmpl,Engine_CC,Seats,Owner_Count,Selling_Price_Lakhs
Volkswagen,Petrol,Manual,Individual,2022,186465,9.6,800,6,2,0.5
BMW,Electric,Manual,Individual,2020,137915,22.4,1200,8,1,2.72
Volkswagen,Diesel,Manual,Dealer,2019,59929,12.0,1800,8,1,0.5
Hyundai,Electric,Manual,Dealer,2015,194928,26.7,2500,8,1,0.5
Kia,Petrol,Manual,Individual,2017,18754,14.0,1800,7,3,0.84
Kia,Petrol,Manual,Individual,2022,164925,26.6,1800,5,3,0.5
Mahindra,Diesel,Manual,Dealer,2012,195632,17.4,1500,4,1,0.5
Kia,Petrol,Manual,Individual,2013,100324,21.1,1200,5,1,0.5
Honda,Petrol,Automatic,Individual,2015,9567,25.4,2500,5,3,1.72
Tata,Diesel,Automatic,Individual,2021,67118,8.9,800,5,1,0.5
Maruti,Diesel,Manual,Dealer,2005,194958,26.1,800,5,1,0.5
Mahindra,Petrol,Manual,Individual,2015,193796,11.1,1500,7,3,0.5
Maruti,Diesel,Manual,Individual,2011,37150,15.9,2000,5,2,0.5
Volkswagen,Petrol,Manual,Individual,2012,102364,18.4,2500,5,1,0.5
Maruti,Petrol,Manual,Individual,2023,142534,27.7,800,5,3,0.5
Maruti,Petrol,Manual,Trustmark Dealer,2008,32560,8.5,3000,8,4,0.5
Mahindra,Petrol,Manual,Dealer,2008,89568,20.3,800,6,1,0.5
Hyundai,Petrol,Automatic,Trustmark Dealer,2023,118246,22.1,1200,5,3,0.5
Ford,Electric,Manual,Individual,2013,139443,15.0,1500,5,2,0.5
Kia,Diesel,Manual,Individual,2021,90349,14.4,1500,8,1,0.5
Kia,Diesel,Manual,Dealer,2022,129460,18.8,1800,5,3,0.5
Honda,Petrol,Automatic,Dealer,2005,190084,12.1,800,5,1,0.5
Mahindra,Petrol,Automatic,Individual,2018,7932,18.3,1000,5,1,1.64
Honda,Petrol,Manual,Individual,2008,157542,24.8,2000,5,1,0.5
Tata,Petrol,Automatic,Dealer,2014,14778,26.6,1200,5,2,0.95
Tata,Petrol,Manual,Individual,2018,28033,16.5,1200,5,1,0.5
Honda,Diesel,Automatic,Dealer,2011,146376,21.6,3000,5,3,0.5
Mahindra,Diesel,Automatic,Trustmark Dealer,2016,132441,8.0,2500,5,2,0.5
Honda,Diesel,Manual,Trustmark Dealer,2020,150479,20.1,2000,5,1,0.5
Kia,Diesel,Automatic,Dealer,2009,7521,29.5,2000,8,2,2.05
BMW,Electric,Manual,Trustmark Dealer,2015,131631,14.9,1000,5,2,0.5
Toyota,Petrol,Manual,Trustmark Dealer,2008,89622,21.1,1800,5,1,0.5
Maruti,Petrol,Manual,Dealer,2017,122257,24.8,1000,5,1,0.5
Toyota,Petrol,Automatic,Individual,2012,119647,21.4,2000,5,2,0.5
Mahindra,Diesel,Manual,Dealer,2011,136855,17.2,2500,5,1,0.5
Mercedes,Electric,Manual,Individual,2015,47666,11.4,2000,5,3,4.22
Toyota,Petrol,Automatic,Dealer,2015,152870,18.2,1000,8,1,0.5
Tata,CNG,Manual,Dealer,2021,81303,14.5,1800,5,1,0.5
Volkswagen,CNG,Manual,Dealer,2018,6103,23.3,1000,8,1,2.93
Maruti,Petrol,Manual,Dealer,2006,190115,17.7,2500,4,2,0.5
Ford,Petrol,Manual,Individual,2024,75845,26.7,1800,7,1,0.5
Mercedes,Petrol,Manual,Dealer,2012,170011,12.3,3000,6,1,0.5
Mahindra,Electric,Manual,Dealer,2006,195114,17.2,2000,5,1,0.5
Maruti,Petrol,Automatic,Trustmark Dealer,2019,79170,20.3,2000,5,2,0.5
Toyota,Diesel,Automatic,Dealer,2009,17135,10.8,2000,5,1,0.69
Tata,Petrol,Manual,Individual,2010,124433,20.9,3000,5,1,0.5
Hyundai,Diesel,Manual,Trustmark Dealer,2021,198020,14.4,800,7,1,0.5
BMW,Petrol,Manual,Trustmark Dealer,2012,102580,13.0,1800,7,3,0.5
Ford,Diesel,Automatic,Dealer,2023,91481,11.1,2000,5,4,0.5
Mercedes,CNG,Manual,Dealer,2009,195828,15.7,1500,5,2,0.5
BMW,CNG,Manual,Trustmark Dealer,2023,44404,28.4,2500,8,1,6.29
Maruti,CNG,Automatic,Dealer,2018,7589,8.7,1500,5,1,2.19
Tata,Petrol,Manual,Dealer,2014,14695,26.7,1000,5,1,0.5
Tata,Diesel,Manual,Dealer,2017,10722,16.7,1500,5,1,1.05
Toyota,Petrol,Automatic,Dealer,2009,54874,20.4,1800,8,1,0.5
Kia,Petrol,Automatic,Individual,2011,136913,19.3,800,7,1,0.5
Toyota,Diesel,Manual,Individual,2014,154803,28.4,1800,5,1,0.5
Kia,Petrol,Automatic,Trustmark Dealer,2015,130101,24.9,1200,5,1,0.5
Kia,Diesel,Manual,Individual,2007,5645,29.7,3000,5,1,1.29
Ford,Electric,Automatic,Dealer,2017,37116,25.5,1000,4,1,2.44
Toyota,Petrol,Manual,Dealer,2006,45983,14.5,2000,6,1,0.5
Audi,Diesel,Automatic,Trustmark Dealer,2008,34402,29.2,800,5,1,3.47
Hyundai,Petrol,Automatic,Dealer,2007,54158,29.6,1000,5,1,0.5
Mercedes,Petrol,Automatic,Dealer,2019,41469,10.7,1200,5,1,5.19
Honda,Petrol,Automatic,Trustmark Dealer,2008,65576,27.8,1500,4,1,0.5
Honda,Electric,Manual,Individual,2008,18908,22.6,1200,8,1,1.05
Toyota,CNG,Manual,Dealer,2019,65269,28.3,3000,5,1,1.49
Toyota,Electric,Manual,Trustmark Dealer,2010,47231,28.1,1500,5,1,1.32
BMW,Electric,Automatic,Trustmark Dealer,2009,50221,27.6,3000,7,2,4.83
Mercedes,Petrol,Automatic,Dealer,2016,148787,27.5,1000,5,4,0.5
Mercedes,Petrol,Manual,Trustmark Dealer,2011,43398,10.6,1000,4,3,1.25
Ford,Diesel,Automatic,Dealer,2007,67372,11.2,2000,5,1,0.5
Toyota,Diesel,Automatic,Individual,2011,40324,10.6,2000,5,1,0.5
Mercedes,Petrol,Automatic,Trustmark Dealer,2016,155410,10.0,1000,8,1,0.5
BMW,Petrol,Automatic,Trustmark Dealer,2019,143459,15.8,2000,4,4,0.5
Kia,Diesel,Manual,Dealer,2023,162247,23.0,1800,5,2,0.5
Tata,Diesel,Manual,Dealer,2010,35795,15.8,800,7,3,0.5
Tata,Petrol,Manual,Dealer,2012,132799,23.8,1800,5,1,0.5
Kia,Diesel,Manual,Individual,2010,135920,26.0,2500,8,1,0.5
Mahindra,Diesel,Automatic,Dealer,2007,173501,22.7,2500,5,1,0.5
BMW,Diesel,Automatic,Dealer,2009,68105,18.2,1200,5,3,1.5
Mercedes,Petrol,Automatic,Dealer,2013,8801,14.5,3000,4,1,5.9
Audi,Diesel,Automatic,Dealer,2020,143485,10.7,3000,5,2,0.59
BMW,Petrol,Manual,Dealer,2020,115375,18.9,2500,5,1,1.89
Kia,Petrol,Manual,Individual,2013,22665,23.8,800,4,3,0.5
Hyundai,Diesel,Manual,Dealer,2022,101636,20.1,1000,5,1,0.5
Volkswagen,Diesel,Manual,Dealer,2017,114391,23.9,1000,5,3,0.5
Maruti,Petrol,Manual,Trustmark Dealer,2015,13187,15.4,1000,5,1,0.5
Kia,Diesel,Manual,Individual,2014,69989,9.5,1500,5,2,0.5
Audi,Diesel,Manual,Dealer,2014,30784,25.0,1200,5,1,2.85
Mercedes,Diesel,Manual,Dealer,2010,54454,12.8,1800,5,3,2.16
Audi,Diesel,Automatic,Individual,2020,149877,21.6,2000,5,2,0.65
Audi,Diesel,Manual,Dealer,2016,46715,25.7,1200,7,1,3.4
Toyota,Diesel,Manual,Individual,2008,58411,11.1,2500,5,2,0.5
Toyota,Petrol,Manual,Dealer,2009,125451,21.2,1500,5,1,0.5
Ford,Petrol,Automatic,Dealer,2006,47186,23.2,1500,5,1,0.5
Kia,Petrol,Manual,Dealer,2023,78111,24.4,3000,5,2,0.5
Ford,Diesel,Manual,Individual,2005,112729,11.2,3000,7,2,0.5
Kia,Diesel,Automatic,Trustmark Dealer,2008,33093,26.2,1200,4,2,0.5
BMW,Petrol,Manual,Dealer,2016,79625,10.1,1500,5,2,1.45
Maruti,Petrol,Automatic,Individual,2006,27474,19.4,2000,5,2,0.5
Audi,Diesel,Manual,Dealer,2016,13154,17.8,800,8,3,4.43
BMW,Petrol,Manual,Dealer,2020,158136,12.9,3000,5,1,0.5
Volkswagen,Diesel,Manual,Trustmark Dealer,2006,165470,14.6,1000,5,2,0.5
Tata,Petrol,Automatic,Dealer,2021,106666,11.6,1800,5,3,0.5
Honda,Diesel,Manual,Trustmark Dealer,2006,179941,17.4,3000,5,1,0.5
Kia,Electric,Manual,Individual,2008,14646,8.8,1500,5,1,0.96
Volkswagen,Petrol,Manual,Trustmark Dealer,2010,64671,27.6,1800,5,2,0.5
Tata,Diesel,Manual,Individual,2011,195779,11.6,1000,5,3,0.5
Mercedes,Petrol,Manual,Dealer,2019,121700,27.5,2000,5,2,1.22
Mahindra,Diesel,Automatic,Dealer,2024,30391,27.0,1200,5,1,3.22
Maruti,Diesel,Automatic,Dealer,2016,164894,17.9,2500,5,1,0.5
Ford,Petrol,Manual,Dealer,2009,119059,18.9,3000,5,1,0.5
Ford,Diesel,Manual,Dealer,2018,42872,14.6,2000,4,1,0.5
BMW,CNG,Automatic,Dealer,2020,80048,29.9,1000,4,1,3.56
Toyota,Petrol,Manual,Trustmark Dealer,2015,165412,22.8,3000,5,1,0.5
Tata,Petrol,Manual,Dealer,2016,86605,28.9,1800,5,2,0.5
Mahindra,CNG,Manual,Individual,2023,119610,17.1,800,5,2,0.5
Volkswagen,Diesel,Automatic,Trustmark Dealer,2021,119559,27.4,1200,5,3,0.5
Maruti,CNG,Automatic,Trustmark Dealer,2011,140574,17.9,1500,5,1,0.5
Tata,Diesel,Automatic,Dealer,2013,102772,27.1,800,8,1,0.5
Mahindra,CNG,Manual,Dealer,2018,53020,10.9,3000,7,1,0.5
Honda,Petrol,Manual,Dealer,2024,94543,22.0,1000,6,1,0.5
Kia,Diesel,Automatic,Dealer,2016,25971,22.9,1800,5,1,2.43
Ford,Electric,Manual,Dealer,2019,194448,22.4,1800,5,3,0.5
Volkswagen,Diesel,Automatic,Individual,2016,11037,17.8,1800,5,1,1.61
Ford,Petrol,Automatic,Dealer,2017,186379,23.0,1000,7,1,0.5
Volkswagen,Petrol,Manual,Individual,2013,112596,13.3,1200,5,1,0.5
BMW,Petrol,Automatic,Trustmark Dealer,2011,163433,21.1,1500,5,1,0.5
Toyota,Petrol,Manual,Dealer,2005,19466,20.2,800,5,1,0.5
Volkswagen,Petrol,Automatic,Dealer,2014,14627,15.0,1000,5,2,1.4
Ford,Diesel,Manual,Individual,2010,157665,25.1,1800,5,3,0.5
BMW,Diesel,Manual,Dealer,2019,56697,9.8,1500,5,2,2.81
Volkswagen,Petrol,Automatic,Individual,2019,28149,11.8,3000,5,2,1.36
Honda,Diesel,Automatic,Dealer,2013,21737,18.4,1800,5,2,1.26
Toyota,Petrol,Manual,Trustmark Dealer,2017,72854,27.6,1000,5,1,0.5
Volkswagen,Petrol,Manual,Dealer,2005,181559,20.7,1800,7,2,0.5
BMW,Petrol,Manual,Dealer,2013,30314,26.5,1000,7,1,3.87
Mercedes,Diesel,Manual,Individual,2007,40287,19.4,2500,5,2,2.4
Tata,Petrol,Manual,Dealer,2013,166523,25.3,1800,5,1,0.5
Hyundai,Petrol,Manual,Dealer,2024,75963,15.2,1000,5,3,0.5
Mahindra,Petrol,Manual,Dealer,2019,173443,25.9,1800,5,2,0.5
Hyundai,CNG,Manual,Dealer,2011,160702,16.8,1500,5,1,0.5
Mercedes,Petrol,Manual,Individual,2008,187308,20.3,1500,7,2,0.5
Hyundai,Diesel,Manual,Individual,2024,38667,11.9,1800,8,1,1.91
Mercedes,Diesel,Manual,Individual,2021,97214,28.2,1800,5,1,3.69
Maruti,Diesel,Automatic,Individual,2008,30099,23.4,1000,4,1,0.5
Mercedes,Electric,Manual,Dealer,2023,102170,26.9,1000,5,1,4.27
Mercedes,Petrol,Automatic,Dealer,2009,82604,12.6,3000,5,1,1.67
Audi,Petrol,Automatic,Individual,2020,87635,9.5,1000,7,1,1.95
Mercedes,CNG,Automatic,Trustmark Dealer,2007,174170,15.4,3000,5,1,0.5
Honda,Diesel,Automatic,Dealer,2015,163945,19.4,1200,5,1,0.5
Tata,Diesel,Automatic,Dealer,2019,159630,25.7,1800,5,1,0.5
Kia,Diesel,Manual,Dealer,2023,196195,16.7,2000,5,1,0.5
Volkswagen,Diesel,Manual,Individual,2018,35518,13.9,3000,5,3,0.76
Mahindra,Electric,Automatic,Individual,2020,57763,16.2,3000,7,3,1.62
Toyota,Electric,Manual,Dealer,2010,64172,23.5,1800,5,3,0.5
Tata,Diesel,Automatic,Individual,2009,139822,15.4,1800,7,1,0.5
Ford,Petrol,Manual,Dealer,2021,147953,29.5,1800,5,2,0.5
Kia,CNG,Automatic,Dealer,2020,155678,11.8,1000,5,2,0.5
Maruti,Petrol,Manual,Individual,2006,21819,24.6,2500,8,1,0.5
Maruti,Petrol,Manual,Dealer,2015,97013,21.0,2500,8,3,0.5
Mercedes,CNG,Manual,Dealer,2008,164827,13.1,2500,8,4,0.5
Tata,Petrol,Automatic,Trustmark Dealer,2010,30811,24.6,2500,4,2,0.5
BMW,Petrol,Automatic,Trustmark Dealer,2011,194194,17.8,3000,5,1,0.5
Audi,Petrol,Manual,Individual,2021,42697,23.0,1000,5,2,2.61
Hyundai,CNG,Automatic,Dealer,2012,66196,22.6,1200,5,1,0.5
Ford,Diesel,Manual,Dealer,2005,118100,10.4,2500,5,1,0.5
Maruti,Diesel,Manual,Trustmark Dealer,2019,154416,26.5,1000,5,2,0.5
Mahindra,Petrol,Manual,Individual,2024,25656,23.0,2000,7,1,2.25
Maruti,Diesel,Manual,Trustmark Dealer,2016,162454,25.2,1800,5,1,0.5
Toyota,Diesel,Manual,Dealer,2019,167103,17.9,1800,7,1,0.5
Volkswagen,Petrol,Manual,Dealer,2019,65574,12.3,2500,4,2,0.5
Maruti,Petrol,Automatic,Trustmark Dealer,2013,62529,15.2,3000,7,4,0.5
Toyota,Petrol,Automatic,Individual,2020,137566,27.8,800,5,1,0.5
Tata,Electric,Manual,Dealer,2006,154435,28.6,1000,5,1,0.5
Tata,Diesel,Manual,Dealer,2019,157884,18.6,800,5,1,0.5
Audi,Electric,Manual,Dealer,2019,156509,14.6,1800,7,2,0.5
Kia,Petrol,Manual,Dealer,2011,111741,24.1,1000,8,3,0.5
Maruti,Diesel,Manual,Dealer,2017,101060,24.9,2500,5,1,0.5
Mahindra,Diesel,Manual,Dealer,2021,12160,25.9,1800,5,1,2.94
Maruti,Diesel,Automatic,Individual,2015,177415,8.7,800,5,1,0.5
Mahindra,Electric,Automatic,Dealer,2014,28593,8.2,2500,5,3,0.83
Honda,Petrol,Manual,Trustmark Dealer,2005,136356,15.9,800,5,1,0.5
Mercedes,Petrol,Manual,Dealer,2018,184155,11.4,1500,4,2,0.5
Kia,Diesel,Manual,Individual,2009,173923,25.7,2500,7,1,0.5
Honda,Diesel,Automatic,Dealer,2012,25378,19.7,1500,5,2,1.04
Maruti,Diesel,Manual,Individual,2005,144563,26.2,1000,5,1,0.5
Kia,Petrol,Manual,Trustmark Dealer,2011,70500,11.9,3000,5,1,0.5
Honda,Diesel,Automatic,Individual,2006,71436,21.8,1000,8,1,0.5
Hyundai,Petrol,Manual,Individual,2011,6459,20.8,2500,5,2,0.5
Maruti,Petrol,Manual,Dealer,2011,149752,15.5,1000,6,1,0.5
Honda,Diesel,Manual,Individual,2013,24305,19.4,1000,5,2,0.5
Hyundai,Diesel,Manual,Trustmark Dealer,2008,171373,21.0,1000,5,1,0.5
Hyundai,Petrol,Manual,Trustmark Dealer,2011,168764,27.6,1000,8,2,0.5
Tata,Petrol,Manual,Dealer,2024,175419,9.2,3000,5,2,0.5
Audi,Petrol,Manual,Trustmark Dealer,2022,153261,26.1,2000,7,2,0.5
Maruti,Petrol,Manual,Dealer,2017,143667,29.6,1000,8,1,0.5
Hyundai,Diesel,Automatic,Dealer,2015,69370,24.1,800,5,3,0.5
Tata,Electric,Manual,Dealer,2013,6921,24.2,800,4,1,1.93
Honda,Petrol,Manual,Dealer,2018,108276,12.8,800,7,1,0.5
Toyota,Diesel,Automatic,Individual,2012,7387,19.5,2000,7,2,2.67
Maruti,CNG,Automatic,Trustmark Dealer,2018,81266,23.5,1800,8,2,0.5
Kia,CNG,Automatic,Individual,2021,85366,21.3,3000,7,2,0.5
Mahindra,Petrol,Manual,Individual,2018,9825,16.5,2500,5,2,0.87
Mahindra,Electric,Manual,Individual,2009,10282,28.7,2500,5,2,0.98
Honda,Petrol,Automatic,Individual,2014,149941,19.3,1200,5,3,0.5
BMW,Petrol,Automatic,Dealer,2010,20451,29.3,1800,5,2,3.9
BMW,Petrol,Manual,Individual,2014,153977,20.4,1000,5,1,0.5
Honda,Diesel,Automatic,Individual,2015,138770,25.5,1200,7,3,0.5
Hyundai,Petrol,Manual,Individual,2010,156068,24.3,3000,5,3,0.5
Audi,Petrol,Automatic,Individual,2014,152964,22.5,800,7,1,0.5
Maruti,Petrol,Automatic,Trustmark Dealer,2018,53068,8.3,800,5,1,0.5
Mahindra,CNG,Automatic,Dealer,2024,76726,9.7,1500,5,2,0.5
Mahindra,CNG,Automatic,Dealer,2007,83702,20.8,1000,5,1,0.5
Audi,Petrol,Automatic,Individual,2011,120962,28.1,1000,5,1,0.5
Hyundai,CNG,Manual,Dealer,2006,165761,21.2,3000,5,4,0.5
Mahindra,CNG,Manual,Trustmark Dealer,2011,36604,13.2,1500,8,1,0.5
Kia,Diesel,Manual,Dealer,2021,119751,15.0,1800,5,1,0.5
Maruti,Petrol,Manual,Dealer,2017,74457,21.7,1500,5,2,0.5
Volkswagen,Diesel,Automatic,Trustmark Dealer,2013,99527,21.1,2000,5,1,0.5
Mahindra,Electric,Manual,Dealer,2017,153315,29.0,1000,5,3,0.5
Honda,Diesel,Manual,Individual,2019,48787,19.6,2000,5,1,1.2
Kia,Petrol,Manual,Dealer,2017,170387,15.8,2000,5,2,0.5
Mahindra,Diesel,Automatic,Dealer,2021,37035,19.5,2000,5,1,2.36
Mercedes,Diesel,Manual,Individual,2012,39844,25.3,800,5,2,3.22
Kia,Diesel,Manual,Dealer,2013,21820,19.9,1500,6,2,0.5
Tata,Petrol,Manual,Trustmark Dealer,2013,51676,15.2,3000,5,3,0.5
Volkswagen,Petrol,Automatic,Individual,2012,54914,15.4,1200,5,1,0.5
Ford,CNG,Manual,Dealer,2020,136807,24.6,800,8,3,0.5
Honda,CNG,Automatic,Individual,2024,77750,9.5,1800,4,2,0.5
Honda,Petrol,Manual,Individual,2011,28968,14.0,800,5,3,0.5
Maruti,Electric,Manual,Dealer,2021,49624,11.4,1800,6,1,2.38
Audi,Petrol,Automatic,Dealer,2011,107398,28.8,800,6,2,0.5
Kia,Diesel,Manual,Dealer,2010,60746,10.0,1000,4,1,0.5
Hyundai,Diesel,Manual,Individual,2009,75264,24.7,2500,5,1,0.5
Honda,CNG,Manual,Individual,2021,129458,21.9,2000,4,2,0.5
Kia,Electric,Manual,Individual,2012,41497,21.9,2500,8,2,1.93
Kia,Petrol,Manual,Individual,2005,143313,24.8,1800,5,2,0.5
Mercedes,CNG,Manual,Individual,2020,197711,16.8,1800,5,1,0.5
Toyota,Petrol,Manual,Individual,2021,22057,16.8,1500,5,1,2.56
Toyota,Diesel,Manual,Individual,2007,54700,14.4,800,5,1,0.5
Ford,Diesel,Automatic,Dealer,2017,19432,21.2,1800,5,4,1.1
Tata,Diesel,Automatic,Trustmark Dealer,2012,66488,28.5,1800,7,1,0.5
Ford,Petrol,Manual,Individual,2020,104199,28.3,800,8,1,0.5
Mahindra,CNG,Manual,Individual,2011,23953,23.5,800,5,1,0.5
Hyundai,Petrol,Manual,Individual,2019,120864,27.9,1200,7,1,0.5
Mahindra,Petrol,Manual,Dealer,2006,34347,29.2,1500,5,1,0.5
BMW,Diesel,Manual,Individual,2006,26249,25.5,1800,5,2,2.44
Mahindra,Diesel,Manual,Dealer,2014,189530,17.0,800,5,2,0.5
Maruti,CNG,Manual,Individual,2009,118346,18.6,1800,5,3,0.5
Mahindra,Petrol,Manual,Dealer,2008,183740,28.5,1200,5,3,0.5
Ford,Petrol,Manual,Individual,2019,88442,22.7,1200,7,3,0.5
Honda,CNG,Automatic,Individual,2017,110781,26.1,3000,5,1,0.5
Honda,Diesel,Manual,Individual,2021,138874,10.6,1800,8,1,0.5
Toyota,Petrol,Automatic,Dealer,2005,106426,12.3,1500,5,1,0.5
Audi,Diesel,Automatic,Trustmark Dealer,2022,116086,15.6,1000,5,2,1.55
Hyundai,Diesel,Manual,Individual,2019,23033,12.1,2500,5,2,0.5
Hyundai,Diesel,Manual,Individual,2018,40088,27.9,1800,5,2,1.15
Maruti,Diesel,Manual,Dealer,2013,114001,12.8,1200,8,1,0.5
Ford,CNG,Manual,Individual,2016,22527,20.3,1500,5,1,0.5
Toyota,CNG,Manual,Dealer,2009,148036,9.9,2000,5,2,0.5
Mercedes,Diesel,Automatic,Individual,2006,46005,11.4,800,5,1,2.77
BMW,Petrol,Manual,Dealer,2011,9406,13.4,2500,7,2,3.37
Hyundai,CNG,Manual,Individual,2013,187833,29.6,2000,5,3,0.5
Honda,Diesel,Automatic,Individual,2022,99538,25.5,1500,5,1,0.68
Mahindra,Diesel,Automatic,Dealer,2008,198419,22.8,1500,7,2,0.5
Mahindra,Petrol,Manual,Dealer,2006,139191,28.2,2500,5,2,0.5
Audi,CNG,Automatic,Trustmark Dealer,2005,63935,29.0,2500,8,1,1.66
Toyota,Diesel,Manual,Dealer,2016,63327,18.0,1800,7,1,0.5
Ford,Petrol,Manual,Individual,2017,188821,15.2,1500,5,1,0.5
Ford,Petrol,Manual,Dealer,2018,64094,14.9,800,6,2,0.5
Tata,CNG,Manual,Dealer,2009,106815,8.8,2500,7,1,0.5
Volkswagen,Petrol,Automatic,Dealer,2007,107132,14.2,2000,7,3,0.5
Hyundai,Electric,Manual,Individual,2008,87485,15.8,1800,5,4,0.5
Ford,Diesel,Manual,Dealer,2021,143723,8.8,3000,6,1,0.5
Audi,Diesel,Manual,Trustmark Dealer,2023,162968,27.4,1200,4,1,0.5
Honda,Petrol,Manual,Individual,2015,102196,26.7,2500,5,2,0.5
Toyota,Petrol,Manual,Dealer,2012,112396,13.5,800,7,3,0.5
BMW,Electric,Manual,Individual,2016,15370,25.7,1800,7,1,5.9
Tata,Petrol,Automatic,Dealer,2022,49552,25.5,2500,5,2,1.3
Audi,Diesel,Manual,Individual,2022,106075,15.4,1800,5,3,0.85
Kia,Petrol,Manual,Dealer,2013,142849,23.3,2500,6,1,0.5
Maruti,Petrol,Manual,Dealer,2009,136185,14.4,3000,8,1,0.5
BMW,Petrol,Manual,Individual,2021,136603,9.5,1000,5,4,0.5
Kia,Diesel,Manual,Trustmark Dealer,2017,145786,19.1,800,5,1,0.5
Mercedes,Electric,Automatic,Dealer,2010,139482,17.6,3000,7,1,2.69
Mahindra,Petrol,Automatic,Individual,2018,79772,11.0,1500,5,1,0.5
Maruti,Petrol,Manual,Dealer,2019,125527,18.8,800,5,1,0.5
Hyundai,Petrol,Manual,Individual,2018,29608,28.9,3000,5,4,0.5
Honda,Diesel,Automatic,Individual,2008,13324,24.1,2500,5,1,1.32
Maruti,Petrol,Manual,Dealer,2022,81695,24.3,800,5,3,0.5
Volkswagen,CNG,Manual,Dealer,2005,170566,24.7,1000,7,1,0.5
Kia,Diesel,Manual,Dealer,2016,59222,24.4,2500,5,1,0.5
Hyundai,Diesel,Automatic,Dealer,2013,177057,8.4,1500,4,2,0.5
Volkswagen,Petrol,Manual,Dealer,2014,102643,28.3,3000,5,3,0.5
Mahindra,Electric,Automatic,Individual,2022,171488,26.3,2000,4,1,0.5
Volkswagen,Petrol,Automatic,Trustmark Dealer,2021,50600,14.0,1000,5,2,0.5
Tata,Petrol,Manual,Dealer,2023,14453,20.2,3000,5,1,1.48
Tata,Diesel,Automatic,Individual,2008,105369,21.5,1000,7,3,0.5
Mercedes,Diesel,Automatic,Individual,2020,163993,10.9,1000,7,3,0.68
Toyota,Petrol,Manual,Trustmark Dealer,2011,71469,13.6,3000,5,2,0.5
BMW,Petrol,Manual,Individual,2013,101544,8.5,2500,5,2,0.5
BMW,Diesel,Manual,Individual,2012,30392,27.0,800,5,1,4.15
Hyundai,Petrol,Manual,Dealer,2011,168249,8.5,3000,5,1,0.5
Mahindra,CNG,Manual,Dealer,2014,191254,15.0,2000,5,1,0.5
Ford,Diesel,Manual,Dealer,2012,63081,9.7,1000,7,1,0.5
Mercedes,Petrol,Manual,Dealer,2021,93387,25.2,1200,5,2,3.33
Tata,Diesel,Automatic,Dealer,2016,147178,28.3,3000,8,1,0.5
Hyundai,Petrol,Manual,Individual,2018,57754,20.4,1500,5,1,0.5
Ford,Diesel,Manual,Dealer,2016,11878,11.1,2000,7,3,1.38
BMW,Diesel,Manual,Individual,2006,5792,20.3,1500,5,4,2.66
Toyota,Petrol,Manual,Dealer,2016,16367,24.9,2000,5,1,1.85
Volkswagen,Diesel,Manual,Trustmark Dealer,2018,43731,23.8,1000,5,2,0.5
Tata,Electric,Manual,Trustmark Dealer,2011,14547,24.3,2000,7,1,2.15
Hyundai,Petrol,Manual,Dealer,2017,104689,14.1,800,5,1,0.5
Maruti,Electric,Automatic,Dealer,2008,33568,9.6,2000,7,1,1.18
Ford,Petrol,Automatic,Individual,2005,67907,11.3,2500,5,4,0.5
Volkswagen,Petrol,Manual,Dealer,2021,55212,29.0,3000,5,2,1.52
Tata,Petrol,Automatic,Dealer,2007,178403,21.5,1800,5,2,0.5
BMW,Petrol,Automatic,Dealer,2021,69379,24.0,3000,7,1,4.92
Audi,Petrol,Manual,Trustmark Dealer,2012,140210,27.8,2500,5,1,0.5
Mahindra,Petrol,Automatic,Trustmark Dealer,2007,120837,26.8,1800,7,1,0.5
Ford,Electric,Automatic,Individual,2014,183184,12.8,3000,5,3,0.5
BMW,CNG,Manual,Individual,2006,147466,9.3,800,5,1,0.5
Tata,Diesel,Manual,Trustmark Dealer,2008,94412,28.4,1000,5,1,0.5
Ford,Petrol,Manual,Trustmark Dealer,2018,175167,29.6,1000,5,1,0.5
Mercedes,Petrol,Manual,Trustmark Dealer,2015,139425,20.5,3000,5,2,0.5
Volkswagen,Petrol,Automatic,Dealer,2018,182204,27.5,1200,5,1,0.5
Tata,Diesel,Manual,Dealer,2017,70064,13.1,1800,5,1,0.5
Mercedes,Electric,Automatic,Individual,2008,60121,10.4,1800,7,1,4.15
Kia,Petrol,Automatic,Individual,2006,20205,19.0,1500,5,2,0.5
Hyundai,Petrol,Automatic,Dealer,2006,140700,25.8,1000,5,2,0.5
Audi,Diesel,Automatic,Dealer,2015,57600,22.4,800,7,4,2.73
Volkswagen,Petrol,Manual,Trustmark Dealer,2009,100526,22.0,1000,5,1,0.5
Ford,Petrol,Manual,Trustmark Dealer,2013,43095,8.4,1000,5,3,0.5
Mahindra,Diesel,Automatic,Dealer,2024,98159,15.0,1200,5,1,0.5
BMW,Diesel,Manual,Trustmark Dealer,2021,130590,28.7,2000,5,1,1.74
Maruti,Petrol,Manual,Individual,2016,63844,11.0,2000,5,2,0.5
BMW,Petrol,Automatic,Individual,2022,183121,24.0,800,5,2,0.5
Ford,Electric,Automatic,Dealer,2007,26433,24.7,1200,5,1,1.54
Audi,Petrol,Manual,Dealer,2009,97060,24.1,1200,4,2,0.5
BMW,Petrol,Automatic,Dealer,2024,148165,29.8,3000,5,1,3.04
